04-12 16:53:50.380   12013-12013   C02b91/AVSession                com.opens...is.music  I     [GetAssetId]MediaDescription has assetId
04-12 16:53:50.380   12013-12013   C02b91/AVSession                com.opens...is.music  I     [GetAssetId]MediaDescription has assetId
04-12 16:53:50.380   12013-12013   C02b91/AVSession                com.opens...is.music  I     [GetAssetId]MediaDescription has assetId
04-12 16:53:50.380   12013-12013   C02b91/AVSession                com.opens...is.music  I     [GetAssetId]MediaDescription has assetId
04-12 16:53:50.380   12013-12013   C02b91/AVSession                com.opens...is.music  I     [GetAssetId]MediaDescription has assetId
04-12 16:53:50.380   12013-12013   C02b91/AVSession                com.opens...is.music  I     [Enqueue]name=SetAVQueueItems
04-12 16:53:50.382   12013-13523   C02b2b/AVPlayerCallback         com.opens...is.music  I     #869 0x507798 Instance OnStateChanged is called, current state: 2
04-12 16:53:50.382   12013-13523   C02b2b/AVPlayerNapi             com.opens...is.music  I     #3557 0xF52C00 notify initialized
04-12 16:53:50.382   12013-12013   A03d00/JSAPP                    com.opens...is.music  I     player state changed: session=1, state=initialized, loadedTrackId=source-1775983601308
04-12 16:53:50.382   12013-12013   C02b2b/AVPlayerNapi             com.opens...is.music  I     #304 JsPrepare In
04-12 16:53:50.382   12013-12013   C02b2b/AVPlayerNapi             com.opens...is.music  I     #321 0xF52C00 JsPrepare EnqueueTask In
04-12 16:53:50.382   12013-12013   C02b2b/AVPlayerNapi             com.opens...is.music  I     #323 0xF52C00 JsPrepare EnqueueTask out
04-12 16:53:50.382   12013-12013   C02b2b/AVPlayerNapi             com.opens...is.music  I     #339 0xF52C00 JsPrepare Out
04-12 16:53:50.383   12013-13587   C02b2b/AVPlayerNapi             com.opens...is.music  I     #330 Wait Prepare Task Start
04-12 16:53:50.383   12013-13816   C02b2b/AVPlayerNapi             com.opens...is.music  I     #265 0xF52C00 Prepare Task In
04-12 16:53:50.394   12013-13523   C02b2b/AVPlayerCallback         com.opens...is.music  I     #1032 0x507798 OnDurationUpdateCb is called, duration: 264600
04-12 16:53:50.394   12013-13523   C02b2b/AVPlayerCallback         com.opens...is.music  I     #1143 0x507798 OnVideoSizeChangedCb is called, width = 0, height = 0
04-12 16:53:50.394   12013-13523   C02b2b/AVPlayerCallback         com.opens...is.music  W     #1150 can not find video size changed callback!
04-12 16:53:50.394   12013-13523   C02b2b/AVPlayerCallback         com.opens...is.music  I     #869 0x507798 Instance OnStateChanged is called, current state: 4
04-12 16:53:50.394   12013-13523   C02b2b/AVPlayerNapi             com.opens...is.music  I     #3557 0xF52C00 notify prepared
04-12 16:53:50.394   12013-13816   C02b2b/AVPlayerNapi             com.opens...is.music  I     #291 0xF52C00 Prepare Task Out
04-12 16:53:50.394   12013-13587   C02b2b/AVPlayerNapi             com.opens...is.music  I     #334 Wait Prepare Task End
04-12 16:53:50.394   12013-12013   C02b91/AVSession                com.opens...is.music  I     [AVSessionEventHandler]construct
04-12 16:53:50.394   12013-12013   C02b91/AVSession                com.opens...is.music  I     [AVSessionPostTask]AVSessionEventHandler create new: SetAVPlaybackState
04-12 16:53:50.394   12013-12013   C02b91/AVSession                com.opens...is.music  I     [Enqueue]name=SetAVPlayback
04-12 16:53:50.394   12013-12013   A03d00/JSAPP                    com.opens...is.music  I     player state changed: session=1, state=prepared, loadedTrackId=source-1775983601308
04-12 16:53:50.394   12013-12013   C02b2b/AVPlayerNapi             com.opens...is.music  I     #388 JsPlay In
04-12 16:53:50.394   12013-12013   C02b2b/AVPlayerNapi             com.opens...is.music  I     #409 0xF52C00 JsPlay EnqueueTask In
04-12 16:53:50.394   12013-12013   C02b2b/AVPlayerNapi             com.opens...is.music  I     #411 0xF52C00 JsPlay EnqueueTask Out
04-12 16:53:50.394   12013-13816   C02b2b/AVPlayerNapi             com.opens...is.music  I     #346 0xF52C00 Play Task In
04-12 16:53:50.395   12013-13816   C02b2b/MonitorClientObject      com.opens...is.music  I     #30 0x4105A0 EnableMonitor
04-12 16:53:50.395   12013-12013   C02b2b/AVPlayerNapi             com.opens...is.music  I     #429 0xF52C00 JsPlay Out
04-12 16:53:50.395   12013-13816   C02b2b/MonitorClient            com.opens...is.music  I     #83 0x4105A0 StartClick
04-12 16:53:50.395   12013-13585   C02b2b/AVPlayerNapi             com.opens...is.music  I     #420 Wait JsPlay Task Start
04-12 16:53:50.396   12013-13836   C02b91/AVSession                com.opens...is.music  I     [SetAVPlaybackState]SetAVPlaybackState:3.
04-12 16:53:50.447   12013-13523   C02b2b/AVPlayerCallback         com.opens...is.music  I     #869 0x507798 Instance OnStateChanged is called, current state: 5
04-12 16:53:50.447   12013-13523   C02b2b/AVPlayerNapi             com.opens...is.music  I     #3557 0xF52C00 notify playing
04-12 16:53:50.447   12013-13816   C02b2b/AVPlayerNapi             com.opens...is.music  I     #376 0xF52C00 Play Task Out
04-12 16:53:50.447   12013-13585   C02b2b/AVPlayerNapi             com.opens...is.music  I     #424 Wait JsPlay Task End
04-12 16:53:50.447   12013-12013   A03d00/JSAPP                    com.opens...is.music  I     player state changed: session=1, state=playing, loadedTrackId=source-1775983601308
04-12 16:53:50.448   12013-12013   C01350/WantAgent                com.opens...is.music  I     [napi_want_agent1304]on get wantAgent
04-12 16:53:50.448   12013-12013   C02b91/AVSession                com.opens...is.music  I     [Enqueue]name=SetAVPlayback
04-12 16:53:50.448   12013-13836   C02b91/AVSession                com.opens...is.music  I     [SetAVPlaybackState]SetAVPlaybackState:2.
04-12 16:53:50.449   12013-12013   C01711/CONTINUOUS_TASK          com.opens...is.music  I     [GetModes:533] GetBackgroundMode audioPlayback.
